timestamp,pod,scheduling_time_ms
I0602 14:20:20.336522,default/fetchdata-00001-deployment-759f5b8c55-jl2jr,13.515453
I0602 14:20:20.337646,default/fastfouriertransform-00001-deployment-78d877fd9c-2mcl4,12.223229
I0602 14:20:20.384653,default/linpack-00001-deployment-6d74694468-vw7jq,12.60886
I0602 14:20:20.388569,default/genmatrix-00001-deployment-5444456b78-qnkrn,14.373769
I0602 14:20:21.975008,default/fastfouriertransform-00001-deployment-78d877fd9c-qnrr9,8.400227
I0602 14:20:21.985861,default/linpack-00001-deployment-6d74694468-sltvd,10.047044
I0602 14:20:22.019858,default/matrixmul-00001-deployment-78f7668cf4-vjk4v,5.985892
I0602 14:20:23.982226,default/fetchdata-00001-deployment-759f5b8c55-c9l8d,7.12906
I0602 14:20:23.997328,default/matrixmul-00001-deployment-78f7668cf4-x76gw,9.528339
I0602 14:20:25.980775,default/linpack-00001-deployment-6d74694468-6w5nd,5.710318
I0602 14:21:28.101684,default/linpack-00001-deployment-6d74694468-fxcdk,9.310893
I0602 14:21:31.983032,default/matrixmul-00001-deployment-78f7668cf4-8s7zf,7.384263
I0602 14:21:55.973773,default/fastfouriertransform-00001-deployment-78d877fd9c-ghr2g,5.809836
I0602 14:30:22.975144,default/fastfouriertransform-00001-deployment-78d877fd9c-brbq7,5.940295
I0602 14:30:22.978947,default/genmatrix-00001-deployment-5444456b78-zzc8m,6.725128
I0602 14:30:23.026558,default/fetchdata-00001-deployment-759f5b8c55-pqtnk,7.00509
I0602 14:30:23.132198,default/linpack-00001-deployment-6d74694468-wfbjg,6.631276
I0602 14:30:23.675676,default/matrixmul-00001-deployment-78f7668cf4-5l55r,5.258276
I0602 14:30:25.979736,default/fastfouriertransform-00001-deployment-78d877fd9c-p5lg2,6.530942
I0602 14:30:25.984077,default/linpack-00001-deployment-6d74694468-f8gsd,8.404405
I0602 14:30:27.975668,default/fetchdata-00001-deployment-759f5b8c55-j79ck,6.695331
I0602 14:30:29.973371,default/linpack-00001-deployment-6d74694468-qmvbw,4.852887
I0602 14:30:31.977390,default/matrixmul-00001-deployment-78f7668cf4-7kdcq,6.646017
I0602 14:31:34.185602,default/linpack-00001-deployment-6d74694468-ds2rm,6.636516
I0602 14:31:41.977867,default/matrixmul-00001-deployment-78f7668cf4-x5xc5,5.17159
I0602 14:31:43.976855,default/matrixmul-00001-deployment-78f7668cf4-94t97,4.038443
I0602 14:31:45.991713,default/matrixmul-00001-deployment-78f7668cf4-cgvgx,7.638886
I0602 14:31:59.974926,default/fastfouriertransform-00001-deployment-78d877fd9c-wz8nm,5.446665
I0602 14:40:48.775972,default/fastfouriertransform-00001-deployment-78d877fd9c-pq67r,8.338921
I0602 14:40:48.777115,default/genmatrix-00001-deployment-5444456b78-v88kf,7.357199
I0602 14:40:48.822662,default/fetchdata-00001-deployment-759f5b8c55-59n77,6.355774
I0602 14:40:48.911853,default/linpack-00001-deployment-6d74694468-5pz4l,6.562885
I0602 14:40:49.469664,default/matrixmul-00001-deployment-78f7668cf4-qvx4g,3.985442
I0602 14:40:51.972433,default/fastfouriertransform-00001-deployment-78d877fd9c-fd27j,6.087051
I0602 14:40:51.985390,default/linpack-00001-deployment-6d74694468-8s6bf,8.930346
